Name,Value.JPY,感情の値
2024-12-10,151.74,0.3845
2024-12-11,152.61,0.9752
2024-12-12,152.13,-0.2427
2024-12-13,153.5,-0.2587
2024-12-16,154.06,-0.3642
2024-12-17,153.98,1.4601
2024-12-18,153.89,0.3525
2024-12-19,156.87,-1.2818
2024-12-20,156.78,-0.3299
2024-12-23,157.18,-0.0437
2024-12-24,157.05,-0.3616
2024-12-27,157.79,-0.6528
2024-12-30,157.57,-2.3118
2024-12-31,156.95,-0.6036
2025-01-02,157,-0.3215
2025-01-03,157.07,-0.674
2025-01-06,156.58,0.3493
2025-01-07,157.66,-0.976
2025-01-08,158.41,-0.1835
2025-01-09,157.75,-0.4134
2025-01-10,158.06,-0.1972
2025-01-13,157.11,-0.7598
2025-01-14,157.76,0.0551
2025-01-15,157.04,0.2882
2025-01-16,156.21,-0.3628
2025-01-17,155.59,-0.1245
2025-01-20,156.42,-0.5419
2025-01-21,155.7,0.163
2025-01-22,155.82,0.0071
2025-01-23,156.27,0.1471
2025-01-24,156.51,-0.5781
2025-01-27,154.05,0.561
2025-01-28,155.32,0.3764
2025-01-29,155.35,0.1459
2025-01-30,154.11,0.8876
2025-01-31,154.9,0.1291
2025-02-03,154.63,-0.7655
2025-02-04,155.32,0.5281
2025-02-05,152.8,-0.9674
2025-02-06,152.46,-0.156
2025-02-07,152.04,-0.2043
2025-02-10,152.05,-0.2048
2025-02-11,152.34,0.4383
2025-02-12,153.54,0.3688
2025-02-13,153.79,-0.2197
2025-02-14,152.79,0.3432
2025-02-17,151.5,-0.4767
2025-02-18,151.77,0.8879
2025-02-19,151.82,0.0369
2025-02-20,149.96,0.1604
2025-02-21,150.46,-0.5653
2025-02-24,149.83,-0.9087
2025-02-25,149.75,-0.1543
2025-02-26,149.42,0.6759
2025-02-27,149.59,-0.2996
2025-02-28,150.76,0.2442
2025-03-03,151.29,0.3904
2025-03-04,148.24,-0.2253
2025-03-05,149.7,0.3183
2025-03-06,147.5,0.8876
2025-03-07,147.69,0.5973
2025-03-10,146.97,-0.129
2025-03-11,148.02,-0.6939
2025-03-12,149.03,-0.0891
2025-03-13,148.33,0.7021
2025-03-14,148.66,-0.0313
2025-03-17,148.82,-0.3145
2025-03-18,149.75,0.4277
2025-03-19,149.83,-0.8201
2025-03-20,148.48,0.32
2025-03-21,148.69,0.0253
2025-03-24,149.81,-0.144
2025-03-25,149.95,-0.6488
2025-03-26,150.35,-0.09
2025-03-27,150.72,0.2168
2025-03-28,150.63,0.4541
2025-03-31,149.42,-0.0021
2025-04-01,149.18,-0.8892
2025-04-02,149.24,0.6464
2025-04-03,146.14,-0.0028
2025-04-04,145.21,-0.1994
2025-04-07,146.42,-1.1967
2025-04-08,146.71,-0.1557
2025-04-09,144.51,-0.8001
2025-04-10,145.53,-0.1493
2025-04-11,142.84,0.5372
2025-04-14,143.25,0.7308
2025-04-15,142.93,0.1298
2025-04-16,142.75,-0.1031
2025-04-17,142.59,-0.5477
2025-04-22,140.34,0.4355
2025-04-23,141.64,0.9507
2025-04-24,142.55,-0.1364
2025-04-25,143.35,-0.6559
2025-04-28,143.34,0.5085
2025-04-29,142.69,0.7964
2025-04-30,143.04,0.8964
2025-05-02,144.52,-0.0484
2025-05-05,143.87,-0.5391
2025-05-06,142.73,0.4257
2025-05-07,143.39,-0.6682
2025-05-08,144.68,-0.3841
2025-05-09,145.18,-0.3763
2025-05-12,148.08,0.6596
2025-05-13,148.14,0.8214
2025-05-14,146.25,0.7737
2025-05-15,146,0.1635
2025-05-16,145.66,-0.1454
2025-05-19,144.97,0.5816
2025-05-20,144.64,-0.5388
2025-05-21,143.77,0.6274
2025-05-22,143.42,0.5771
2025-05-23,142.58,0.3397
2025-05-26,142.9,0.2927
2025-05-27,144.17,0.4096
2025-05-28,144.41,0.5008
2025-05-29,144.91,0.314
2025-05-30,143.72,0.0745
2025-06-02,142.73,0.5753
2025-06-03,143.16,0.7204
2025-06-04,144.19,-0.1275
2025-06-05,143.27,0.5117
2025-06-06,144.26,0.4011
2025-06-09,144.5,1.3148
2025-06-10,144.57,-0.0102
2025-06-11,145.34,-0.9178
2025-06-12,143.73,-0.1013
2025-06-13,144.15,0.0735
2025-07-02,144.15,-0.0372
2025-07-03,143.93,0.09
2025-07-04,144.4,-0.2907
2025-07-07,145.56,0.2894
2025-07-08,146.53,0.1618
2025-07-09,146.72,0.3312
2025-07-10,146.32,0.189
2025-07-11,147.06,1.1278
2025-07-14,147.37,0.6272
2025-07-15,147.95,0.3362
2025-07-16,148.73,0.165
2025-07-17,148.79,-0.281
2025-07-18,148.45,-0.2725
2025-07-21,147.44,0.1163
2025-07-22,147.17,0.4013
2025-07-23,146.28,0.8822
2025-07-24,146.5,0.4355
2025-07-25,147.65,0.2521
2025-07-28,148.15,0.1791
2025-07-29,148.77,-0.4657
2025-07-30,148.31,0.5223
2025-07-31,149.85,-0.5432
2025-08-01,150.48,-1.0889
2025-08-04,147.38,-0.1749
2025-08-05,147.6,0.1219
2025-08-06,147.55,0.0673
2025-08-07,147.38,0.1771
2025-08-08,147.82,0.7247
2025-08-11,147.87,-0.0473
2025-08-12,148.46,0.2645
2025-08-13,147.27,0.5091
2025-08-14,146.54,-0.3043
2025-08-15,147,-0.3349
2025-08-18,147.58,1.2125
2025-08-19,147.81,-0.4984
2025-08-20,147.43,0.1527
2025-08-21,147.86,-0.067
2025-08-22,148.69,0.2251
2025-08-25,147.35,-0.2009
2025-08-26,147.37,-0.0081
2025-08-27,148.05,0.962
2025-08-28,146.87,0.2249
2025-08-29,147.3,0.3818
2025-09-01,147.22,-0.5126
2025-09-02,148.63,-0.0591
2025-09-03,148.61,0.0673
2025-09-04,148.33,0.2288
2025-09-05,147.98,0.2959
2025-09-08,147.84,0.9346
2025-09-09,146.76,-0.4103
2025-09-10,147.49,-0.2991
2025-09-11,147.95,0.939
2025-09-12,147.92,0.2718
2025-09-15,147.36,0.5849
2025-09-16,146.99,-1.047
2025-09-17,146.39,-0.4017
2025-09-18,147.44,-1.3258
2025-09-19,148.08,0.2269
2025-09-22,147.84,0.6571
2025-09-23,147.8,0.2197
2025-09-24,148.44,-1.0483
2025-09-25,148.82,-0.0402
2025-09-26,149.75,0.1661
2025-09-29,148.75,0.0807
2025-09-30,147.99,-0.256
2025-10-01,147.11,0.335
2025-10-02,146.78,0.9344
2025-10-03,147.35,0.7206
2025-10-06,150.04,0.5082
2025-10-07,150.91,0.3457
2025-10-08,152.69,0.576
2025-10-09,152.79,0.9508
2025-10-10,152.54,0.406
2025-10-13,152.11,0.1025
2025-10-14,152.1,1.2584
2025-10-15,151.55,-0.0313
2025-10-16,151.28,1.5306
2025-10-17,150.42,0.4347
2025-10-20,150.76,1.053
2025-10-21,152.02,0.6038
2025-10-22,151.83,1.1212
2025-10-23,152.63,0.216
2025-10-24,152.9,-0.2422
2025-10-27,152.86,0.6769
2025-10-28,152.29,0.9501
2025-10-29,152.17,0.2966
2025-10-30,154.43,0.5497
2025-10-31,154.18,0.2469
2025-11-03,154.22,-0.7403
2025-11-04,153.5,0.0571
2025-11-05,153.73,0.5157
2025-11-06,153.6,0.2392
2025-11-07,153.09,-0.7263
2025-11-10,154.1,0.2937
2025-11-11,154.18,-0.4106
2025-11-12,154.79,-0.1568
2025-11-13,154.55,1.0171
